system,trial,judge_wer,asr_wer,ref_words
baseline-10000-e6,sir0_val-42-000032,29.166666666666668,33.333333333333336,24
baseline-10000-e6,sir0_val-42-000035,71.05263157894737,7.894736842105263,38
baseline-10000-e6,sir0_val-42-000037,25.806451612903224,16.129032258064516,31
baseline-10000-e6,sir0_val-42-000041,0.0,4.0,25
baseline-10000-e6,sir0_val-42-000045,0.0,0.0,28
baseline-10000-e6,sir0_val-42-000046,0.0,0.0,23
baseline-10000-e6,sir0_val-42-000048,150.0,200.0,8
baseline-10000-e6,sir0_val-42-000050,105.88235294117646,26.470588235294116,34
baseline-10000-e6,sir0_val-42-000051,132.5581395348837,172.09302325581396,43
baseline-10000-e6,sir0_val-42-000053,106.66666666666667,133.33333333333334,15
baseline-10000-e6,sir0_val-42-000054,97.29729729729729,97.29729729729729,37
baseline-10000-e6,sir0_val-42-000055,51.515151515151516,24.242424242424242,33
baseline-10000-e6,sir0_val-42-000057,124.24242424242425,124.24242424242425,33
baseline-10000-e6,sir0_val-42-000058,0.0,88.23529411764706,34
baseline-10000-e6,sir0_val-42-000061,47.05882352941177,55.88235294117647,34
baseline-10000-e6,sir0_val-42-000062,4.0,2.0,50
baseline-10000-e6,sir0_val-42-000063,11.11111111111111,18.51851851851852,27
baseline-10000-e6,sir0_val-42-000065,0.0,10.0,30
baseline-10000-e6,sir0_val-42-000067,131.0344827586207,84.48275862068965,58
baseline-10000-e6,sir0_val-42-000068,17.391304347826086,8.695652173913043,23
baseline-10000-e6,sir0_val-42-000070,78.57142857142857,64.28571428571429,42
baseline-10000-e6,sir0_val-42-000071,110.0,95.0,20
baseline-10000-e6,sir0_val-42-000073,62.7906976744186,100.0,43
baseline-10000-e6,sir0_val-42-000077,94.28571428571429,88.57142857142857,35
baseline-10000-e6,sir0_val-42-000078,33.333333333333336,7.6923076923076925,39
baseline-10000-e6,sir0_val-42-000080,97.43589743589743,69.23076923076923,39
baseline-10000-e6,sir0_val-42-000085,55.26315789473684,55.26315789473684,38
baseline-10000-e6,sir0_val-42-000086,70.0,96.66666666666667,30
baseline-10000-e6,sir0_val-42-000089,7.547169811320755,30.18867924528302,53
baseline-10000-e6,sir0_val-42-000090,105.71428571428571,102.85714285714286,35
baseline-10000-e6,sir0_val-42-000091,111.36363636363636,109.0909090909091,44
baseline-10000-e6,sir0_val-42-000092,2.7777777777777777,8.333333333333334,36
baseline-10000-e6,sir0_val-42-000097,85.71428571428571,35.714285714285715,28
baseline-10000-e6,sir0_val-42-000098,5.454545454545454,21.818181818181817,55
baseline-10000-e6,sir0_val-42-000102,120.58823529411765,114.70588235294117,34
baseline-10000-e6,sir0_val-42-000105,21.818181818181817,21.818181818181817,55
baseline-10000-e6,sir0_val-42-000107,30.434782608695652,50.0,46
baseline-10000-e6,sir0_val-42-000109,14.285714285714286,42.857142857142854,28
baseline-10000-e6,sir0_val-42-000111,38.23529411764706,82.3529411764706,34
baseline-10000-e6,sir0_val-42-000112,2.7777777777777777,11.11111111111111,36
baseline-10000-e6,sir0_val-42-000113,2.3255813953488373,2.3255813953488373,43
baseline-10000-e6,sir0_val-42-000116,18.181818181818183,96.96969696969697,33
baseline-10000-e6,sir0_val-42-000119,50.0,62.903225806451616,62
baseline-10000-e6,sir0_val-42-000123,35.483870967741936,9.67741935483871,31
baseline-10000-e6,sir0_val-42-000127,0.0,7.142857142857143,28
baseline-10000-e6,sir0_val-42-000128,100.0,25.806451612903224,31
baseline-10000-e6,sir0_val-42-000129,10.344827586206897,96.55172413793103,29
